model,clean_f1,fgsm_f1,asr,recall_clean_S,recall_adv_S,recall_clean_V,recall_adv_V,recall_clean_F,recall_adv_F
BiLSTM,0.861633633421202,0.773249662492992,0.035768285768285765,0.7697841726618705,0.7122302158273381,0.9426795580110497,0.8970994475138122,0.691358024691358,0.5864197530864198
HMR-BiLSTM,0.8824864632167984,0.8424519246365308,0.011432855402492738,0.8111510791366906,0.7841726618705036,0.9447513812154696,0.9267955801104972,0.845679012345679,0.7962962962962963
LSTM,0.8691449424281548,0.8189370482404932,0.015516268572503291,0.6726618705035972,0.6330935251798561,0.9613259668508287,0.9330110497237569,0.7654320987654321,0.6728395061728395
